,__Acidaminococcus,__Acinetobacter,__Actinomyces,__Aggregatibacter,__Akkermansia,__Alistipes,__Anaerococcus,__Anaerostipes,__Anaerotruncus,__Atopobium,__Bacteroides,__Barnesiella,__Bifidobacterium,__Bilophila,__Blautia,__Butyricicoccus,__Butyricimonas,__Campylobacter,__Candidatus_Soleaferrea,__Candidatus_Stoquefichus,__Christensenellaceae_R_7_group,__Citrobacter,__Cloacibacterium,__Clostridium_sensu_stricto_1,__Collinsella,__Coprobacter,__Coprococcus_1,__Coprococcus_2,__Corynebacterium,__Corynebacterium_1,__Defluviitaleaceae_UCG_011,__Desulfovibrio,__Dialister,__Dielma,__Dorea,__Eggerthella,__Eikenella,__Erysipelatoclostridium,__Erysipelotrichaceae_UCG_003,__Escherichia_Shigella,__Faecalibacterium,__Faecalitalea,__Family_XIII_AD3011_group,__Family_XIII_UCG_001,__Flavonifractor,__Fusicatenibacter,__Fusobacterium,__Gemella,__Granulicatella,__Haemophilus,__Holdemanella,__Holdemania,__Hungatella,__Intestinibacter,__Lachnoclostridium,__Lachnospira,__Lachnospiraceae_ND3007_group,__Lachnospiraceae_NK4A136_group,__Lachnospiraceae_UCG_001,__Lachnospiraceae_UCG_008,__Lachnospiraceae_UCG_010,__Lactobacillus,__Lactonifactor,__Leptotrichia,__Megasphaera,__Odoribacter,__Oribacterium,__Oscillibacter,__Parabacteroides,__Parasutterella,__Parvimonas,__Peptococcus,__Peptoniphilus,__Peptostreptococcus,__Phascolarctobacterium,__Porphyromonas,__Prevotella,__Prevotella_7,__Prevotella_9,__Pseudomonas,__Romboutsia,__Roseburia,__Rothia,__Ruminiclostridium,__Ruminiclostridium_5,__Ruminiclostridium_6,__Ruminiclostridium_9,__Ruminococcaceae_NK4A214_group,__Ruminococcaceae_UCG_002,__Ruminococcaceae_UCG_003,__Ruminococcaceae_UCG_004,__Ruminococcaceae_UCG_005,__Ruminococcaceae_UCG_010,__Ruminococcaceae_UCG_013,__Ruminococcaceae_UCG_014,__Ruminococcus_1,__Ruminococcus_2,__Solobacterium,__Sphingomonas,__Staphylococcus,__Streptococcus,__Subdoligranulum,__Sutterella,__Tepidimonas,__Turicibacter,__Tyzzerella,__Tyzzerella_3,__Tyzzerella_4,__Veillonella,___Clostridium_innocuum_group,___Eubacterium_brachy_group,___Eubacterium_coprostanoligenes_group,___Eubacterium_eligens_group,___Eubacterium_hallii_group,___Eubacterium_nodatum_group,___Eubacterium_rectale_group,___Eubacterium_ventriosum_group,___Eubacterium_xylanophilum_group,___Ruminococcus_gauvreauii_group,___Ruminococcus_gnavus_group,__g,__uncultured
0,0.0,0.006867607783288821,0.00038153376573826786,0.0,0.0015261350629530714,0.0,0.0,0.0034338038916444107,0.00038153376573826786,0.0,0.363220144982831,0.0,0.0,0.0,0.07287294925600915,0.0047691720717283476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011446012972148034,0.0,0.0034338038916444107,0.06066386875238459,0.0,0.003052270125906143,0.0,0.0009538344143456696,0.002289202594429607,0.0,0.019839755818389926,0.023464326592903473,0.007249141549027089,0.0,0.0,0.024990461655856545,0.0036245707745135446,0.004006104540251812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06466997329263639,0.0007630675314765357,0.0,0.00038153376573826786,0.0,0.0106829454406715,0.0,0.0,0.0,0.0,0.0,0.002289202594429607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002098435711560473,0.0,0.0,0.0,0.00019076688286913393,0.0,0.0,0.0034338038916444107,0.0,0.0,0.0,0.004006104540251812,0.0009538344143456696,0.0,0.008393742846241892,0.0,0.00019076688286913393,0.0,0.0,0.0,0.00019076688286913393,0.0007630675314765357,0.01030141167493323,0.0,0.0,0.0,0.02384586035864174,0.0,0.0,0.0007630675314765357,0.002098435711560473,0.0,0.0009538344143456696,0.0,0.03357497138496757,0.0,0.18485310950019077,0.0,0.0,0.0,0.030713468141930562,0.0019076688286913392,0.0038153376573826785
1,0.0,0.0,0.0,0.0,0.0,0.007806955287437899,0.0,0.0,0.0021291696238466998,0.0,0.27608232789212206,0.0,0.0,0.0,0.1547196593328602,0.0021291696238466998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468417317246274,0.0,0.0042583392476933995,0.0,0.0,0.0,0.0,0.0241305890702626,0.014194464158977998,0.0028388928317956,0.0,0.0,0.0028388928317956,0.017743080198722498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028388928317955996,0.0,0.0,0.0,0.0,0.0049680624556423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042583392476933995,0.0,0.0,0.0,0.0021291696238466998,0.0,0.0,0.0,0.0,0.0035486160397444995,0.0,0.0,0.0,0.0028388928317956,0.0,0.007806955287437899,0.0,0.0021291696238466998,0.0,0.0227111426543648,0.0,0.0,0.0035486160397444995,0.0049680624556423,0.0,0.0113555713271824,0.0,0.0248403122782115,0.0,0.28601845280340665,0.0,0.0,0.0,0.0262597586941093,0.0014194464158978,0.007097232079488999
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5486610058785107,0.0,0.0,0.0,0.010450685826257348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002612671456564337,0.0,0.007838014369693011,0.0,0.005878510777269758,0.0,0.0,0.0,0.007184846505551927,0.0,0.0,0.0,0.0,0.0,0.0,0.0045721750489875895,0.0,0.0,0.0,0.0,0.04441541476159373,0.0,0.02612671456564337,0.0,0.0,0.0,0.0,0.0,0.0,0.008491182233834096,0.14826910516002612,0.0,0.0,0.0,0.0,0.014369693011103853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006531678641410843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045721750489875895,0.0,0.0,0.001959503592423253,0.0,0.0,0.0,0.04441541476159373,0.019595035924232528,0.0,0.0,0.0,0.0,0.001959503592423253,0.0,0.05225342913128674,0.0,0.0,0.0,0.033311561071195296,0.012410189418680601,0.0
3,0.0,0.0,0.0,0.0,0.0,0.00031308703819661864,0.0,0.03287413901064496,0.0,0.0,0.4561678146524734,0.0,0.0,0.0,0.002817783343769568,0.002817783343769568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002504696305572949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06762680025046963,0.0,0.0,0.0,0.0,0.0012523481527864746,0.0,0.006574827802128992,0.0,0.0,0.0,0.0,0.045084533500313086,0.0,0.0034439574201628053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19380087664370696,0.0,0.0,0.0,0.0,0.0012523481527864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007514088916718848,0.0,0.0,0.0,0.0,0.03725735754539762,0.0012523481527864746,0.0,0.0,0.0,0.0,0.001878522229179712,0.0,0.03850970569818409,0.0,0.0,0.0,0.09643080776455855,0.0,0.0006261740763932373
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09345794392523364,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29906542056074764,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205607476635514,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2616822429906542,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0012507817385866166,0.0,0.0,0.0,0.0,0.0,0.24702939337085678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013758599124452783,0.0,0.0,0.0,0.0,0.0,0.0,0.028142589118198873,0.01125703564727955,0.0,0.0,0.0,0.01876172607879925,0.0,0.0025015634771732333,0.0,0.0,0.0,0.0,0.0,0.0,0.008755472170106316,0.02626641651031895,0.0,0.0,0.001876172607879925,0.0,0.0025015634771732333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525328330206379,0.0,0.0006253908692933083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5159474671669794,0.0031269543464665416,0.0,0.00375234521575985,0.0006253908692933083,0.0,0.0,0.0,0.008130081300813009,0.0031269543464665416,0.0,0.0,0.0,0.0,0.0,0.0,0.029393370856785492,0.0,0.0,0.0,0.020637898686679174,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.38235294117647056,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.02958480416876786,0.0,0.0,0.0,0.0,0.5155488317364263,0.0,0.0,0.0,0.02386955790889225,0.0005042864346949068,0.0021852412170112624,0.0,0.0,0.0,0.0,0.0,0.0,0.0016809547823163557,0.0,0.0,0.0013447638258530846,0.0,0.0,0.00016809547823163558,0.0,0.0,0.0,0.00016809547823163558,0.0008404773911581779,0.0,0.0,0.0005042864346949068,0.0,0.004202386955790889,0.16859976466633048,0.001176668347621449,0.0,0.0,0.0018490502605479913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02235669860480753,0.00016809547823163558,0.0,0.0,0.0,0.0015128593040847202,0.0,0.0,0.0,0.0,0.0,0.0018490502605479913,0.0,0.0,0.020339552866027902,0.0,0.0,0.0,0.0,0.0,0.007564296520423601,0.0,0.0,0.0,0.0,0.005715246259875609,0.0,0.0,0.0,0.0,0.004202386955790889,0.0,0.0031938140864010756,0.0,0.00016809547823163558,0.0,0.00016809547823163558,0.0,0.0,0.0006723819129265423,0.0,0.0,0.04740292486132123,0.0,0.0,0.0,0.0008404773911581779,0.07328962850899311,0.0,0.0,0.0,0.0,0.0,0.0,0.0005042864346949068,0.0,0.0,0.0226928895612708,0.0,0.0005042864346949068,0.0,0.0021852412170112624,0.0010085728693898135,0.0,0.0,0.0025214321734745334,0.0,0.028912422255841317
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.1774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27419354838709675,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0066518847006651885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286031042128603,0.0,0.04434589800443459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082039911308204,0.0,0.0,0.0,0.0,0.0,0.06873614190687362,0.0,0.0,0.0,0.04878048780487805,0.07317073170731707,0.05543237250554324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019955654101995565,0.29711751662971175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04212860310421286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066518847006651885,0.0,0.0,0.0,0.0,0.09977827050997783,0.026607538802660754
